OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
555402,NAD(P)HX dehydratase deficiency,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=555402,1,98006 > 182070 > 555402,Rare neurologic disease > Rare neurodegenerative disease > NAD(P)HX dehydratase deficiency,Category > Category > Disease,3
555407,NAD(P)HX epimerase deficiency,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=555407,1,98006 > 182070 > 555407,Rare neurologic disease > Rare neurodegenerative disease > NAD(P)HX epimerase deficiency,Category > Category > Disease,3
556985,Early-onset calcifying leukoencephalopathy-skeletal dysplasia,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=556985,1,98006 > 182070 > 556985,Rare neurologic disease > Rare neurodegenerative disease > Early-onset calcifying leukoencephalopathy-skeletal dysplasia,Category > Category > Disease,3
569274,Multiple mitochondrial dysfunctions syndrome type 5,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=569274,1,98006 > 182070 > 569274,Rare neurologic disease > Rare neurodegenerative disease > Multiple mitochondrial dysfunctions syndrome type 5,Category > Category > Disease,3
569290,Multiple mitochondrial dysfunctions syndrome type 6,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=569290,1,98006 > 182070 > 569290,Rare neurologic disease > Rare neurodegenerative disease > Multiple mitochondrial dysfunctions syndrome type 6,Category > Category > Disease,3
610573,CLCN6-related childhood-onset progressive neurodegeneration-peripheral neuropathy syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=610573,1,98006 > 182070 > 610573,Rare neurologic disease > Rare neurodegenerative disease > CLCN6-related childhood-onset progressive neurodegeneration-peripheral neuropathy syndrome,Category > Category > Disease,3
621758,Fibrosis-neurodegeneration-cerebral angiomatosis syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=621758,1,98006 > 182070 > 621758,Rare neurologic disease > Rare neurodegenerative disease > Fibrosis-neurodegeneration-cerebral angiomatosis syndrome,Category > Category > Disease,3
684290,Hypertrophic olivary degeneration,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=684290,1,98006 > 182070 > 684290,Rare neurologic disease > Rare neurodegenerative disease > Hypertrophic olivary degeneration,Category > Category > Disease,3
2406,Locked-in syndrome,Clinical syndrome,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2406,1,98006 > 2406,Rare neurologic disease > Locked-in syndrome,Category > Clinical syndrome,2
1314,Symmetrical thalamic calcifications,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1314,1,98006 > 1314,Rare neurologic disease > Symmetrical thalamic calcifications,Category > Disease,2
2047,Flynn-Aird syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=2047,1,98006 > 2047,Rare neurologic disease > Flynn-Aird syndrome,Category > Disease,2
3465,Worster-Drought syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=3465,1,98006 > 3465,Rare neurologic disease > Worster-Drought syndrome,Category > Disease,2
29822,Spontaneous periodic hypothermia,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=29822,1,98006 > 29822,Rare neurologic disease > Spontaneous periodic hypothermia,Category > Disease,2
36388,Paraneoplastic neurologic syndrome,Category,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=36388,0,98006 > 36388,Rare neurologic disease > Paraneoplastic neurologic syndrome,Category > Category,2
1183,Opsoclonus-myoclonus syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=1183,1,98006 > 36388 > 1183,Rare neurologic disease > Paraneoplastic neurologic syndrome > Opsoclonus-myoclonus syndrome,Category > Category > Disease,3
43393,Lambert-Eaton myasthenic syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=43393,1,98006 > 36388 > 43393,Rare neurologic disease > Paraneoplastic neurologic syndrome > Lambert-Eaton myasthenic syndrome,Category > Category > Disease,3
71505,Cancer-associated retinopathy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=71505,1,98006 > 36388 > 71505,Rare neurologic disease > Paraneoplastic neurologic syndrome > Cancer-associated retinopathy,Category > Category > Disease,3
208999,Paraneoplastic sensory ganglionopathy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=208999,1,98006 > 36388 > 208999,Rare neurologic disease > Paraneoplastic neurologic syndrome > Paraneoplastic sensory ganglionopathy,Category > Category > Disease,3
623615,Autoimmune limbic encephalitis,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=623615,1,98006 > 36388 > 623615,Rare neurologic disease > Paraneoplastic neurologic syndrome > Autoimmune limbic encephalitis,Category > Category > Disease,3
623626,Paraneoplastic cerebellar degeneration,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=623626,1,98006 > 36388 > 623626,Rare neurologic disease > Paraneoplastic neurologic syndrome > Paraneoplastic cerebellar degeneration,Category > Category > Disease,3
